id,name,coordinate_x,coordinate_y,creationDate,area,population,metersAboveSeaLevel,capital,carCode,government,governor_birthday
1517709351,1,1.0,1,2024-04-06T08:51:42.836106300+03:00[Europe/Moscow],1,1,1.0,false,454,KLEPTOCRACY,1111-11-11T11:11:11
1810410344,null,453.0,34,2024-04-06T09:01:10.083478600+03:00[Europe/Moscow],453,543,453.0,false,435,CORPORATOCRACY,1111-11-11T11:11:11
1014756347,sadsdas,453.0,43543,2024-04-06T09:05:40.195611100+03:00[Europe/Moscow],43,34,43.0,false,null,CORPORATOCRACY,1111-11-11T11:11:11
818494853,a,1.0,1,2024-04-12T19:07:18.919198500+03:00[Europe/Moscow],1,1,1.0,false,null,null,1111-11-11T11:11:11
485445048,2,1.0,324,2024-04-13T08:50:43.870467500+03:00[Europe/Moscow],324,3241,2.0,false,2,null,1111-11-11T11:11:11
71352168,sadsdas,453.0,43543,2024-04-13T08:57:05.763586700+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
376287312,sadsdas,453.0,43543,2024-04-13T08:58:35.521728600+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1256570662,sadsdas,453.0,43543,2024-04-13T08:59:10.721653400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1046159241,sadsdas,453.0,43543,2024-04-13T08:59:49.889936300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1985023759,sadsdas,453.0,43543,2024-04-17T13:09:09.636579600+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
425493310,sadsdas,453.0,43543,2024-04-17T13:28:19.247902200+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1622681520,sadsdas,453.0,43543,2024-04-17T13:34:06.182313400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1016055046,sadsdas,453.0,43543,2024-04-17T13:35:42.546584+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
27004314,sadsdas,453.0,43543,2024-04-17T13:37:29.252239300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
875556812,sadsdas,453.0,43543,2024-04-17T13:38:39.200377400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
935835827,sadsdas,453.0,43543,2024-04-17T13:38:39.230334600+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1108793100,sadsdas,453.0,43543,2024-04-17T13:38:39.231335600+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
685194301,sadsdas,453.0,43543,2024-04-17T13:38:39.233334500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
381058045,sadsdas,453.0,43543,2024-04-17T13:38:39.234334400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1821411131,sadsdas,453.0,43543,2024-04-17T13:38:39.236434900+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1136507941,sadsdas,453.0,43543,2024-04-17T13:38:39.237441+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
377162648,sadsdas,453.0,43543,2024-04-17T13:38:39.238440500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1709198115,sadsdas,453.0,43543,2024-04-17T13:38:39.240441100+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1770844721,sadsdas,453.0,43543,2024-04-17T13:38:39.241442600+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
241014049,sadsdas,453.0,43543,2024-04-17T13:38:39.242441500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1902560767,sadsdas,453.0,43543,2024-04-17T13:38:39.243441700+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
2018100104,sadsdas,453.0,43543,2024-04-17T13:38:39.245441400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
960630397,sadsdas,453.0,43543,2024-04-17T13:38:39.246440700+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1576925639,sadsdas,453.0,43543,2024-04-17T13:38:39.248441300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
2064436993,sadsdas,453.0,43543,2024-04-17T13:38:39.250951700+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
847165667,sadsdas,453.0,43543,2024-04-17T13:38:39.251952300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
332403516,sadsdas,453.0,43543,2024-04-17T13:38:39.252952400+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1133291234,sadsdas,453.0,43543,2024-04-17T13:38:39.255021500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1976743125,sadsdas,453.0,43543,2024-04-17T13:38:39.256952200+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
674120202,sadsdas,453.0,43543,2024-04-17T13:38:39.257952+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1880769167,sadsdas,453.0,43543,2024-04-17T13:38:39.258951500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
339286080,sadsdas,453.0,43543,2024-04-17T13:38:39.259951100+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
289902390,sadsdas,453.0,43543,2024-04-17T13:38:39.260950900+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
92338116,sadsdas,453.0,43543,2024-04-17T13:38:39.261951900+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1602770176,sadsdas,453.0,43543,2024-04-17T13:38:39.262951300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
856195286,sadsdas,453.0,43543,2024-04-17T13:38:39.263951500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1785410008,sadsdas,453.0,43543,2024-04-17T13:38:39.265457200+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
2033913533,sadsdas,453.0,43543,2024-04-17T13:38:39.265457200+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
687010188,sadsdas,453.0,43543,2024-04-17T13:38:39.267465300+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1352000257,sadsdas,453.0,43543,2024-04-17T13:38:39.268463200+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1595657349,sadsdas,453.0,43543,2024-04-17T13:38:39.269464700+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
1547230867,sadsdas,453.0,43543,2024-04-17T13:38:39.270464500+03:00[Europe/Moscow],43,43,34.0,true,null,CORPORATOCRACY,1111-11-11T11:11:11
